"WORD","POS"
"اثاث","Noun"
"اثبات","Noun"
"اثباتول","Verb"
"اثباتېدل","Verb"
"اثنا","Noun"
"اثير","Noun"
"اجاره","Noun"
"اجاره دار","Noun"
"اجازه","Noun"
"اجازه نامه","Noun"
"اجايي","Noun"
"اجاڼۍ","Noun"
"اجباري","Adjective"
"اجتماع","Noun"
"اجتماعي","Adjective"
"اجتناب","Noun"
"اجتهاد","Noun"
"اجداد","Noun"
"اجدادي","Adjective"
"اجر","Noun"
"اجرا","Noun"
"اجرائيه","Adjective"
"اجرام","Noun"
"اجرت","Noun"
"اجره","Noun"
"اجزا","Noun"
"اجسام","Noun"
"اجغونه","Noun"
"اجل","Noun"
"اجلاس","Noun"
"اجلاسيه","Noun"
"اجلځی","Noun"
"اجماع","Noun"
"اجمال","Noun"
"اجمالي","Adjective"
"اجناس","Noun"
"اجنبي","Noun"
"اجوت","Adjective"
"اجوتول","Verb"
"اجوره","Noun"
"اجير","Noun"
"اجڼه","Noun"
"اچار","Noun"
"اچه","Noun"
"اچول","Verb"
"اچونی","Noun"
"اچۍ","Noun"
"احاديث","Noun"
"احاطه","Noun"
"احباب","Noun"
"احتجاج","Noun"
"احتراز","Noun"
"احتراق","Noun"
"احترام","Noun"
"احتفال","Noun"
"احتکار","Noun"
"احتکاري","Adjective"
"احتکاک","Noun"
"احتلام","Noun"
"احتمال","Noun"
"احتمالي","Adjective"
"احتمام","Noun"
"احتياج","Noun"
"احتياط","Noun"
"احتياطي","Adjective"
"احزاب","Noun"
"احساس","Noun"
"احساسات","Noun"
"احساساتي","Adjective"
"احساسول","Verb"
"احسان","Noun"
"احصائيه","Noun"
"احضار","Noun"
"احضارول","Verb"
"احکام","Noun"
"احمدزی","Noun"
"احمق","Adjective"
"احوال","Noun"
"احياء","Noun"
"اخ","interjection"
"اخ و ټوخ","Noun"
"اخ و ډب","Noun"
"اخبار","Noun"
"اختر","Noun"
"اختراع","Noun"
"اختری","Noun"
"اختصار","Noun"
"اختصاص","Noun"
"اختصاصي","Adjective"
"اختفا","Noun"
"اختلاس","Noun"
"اختلاف","Noun"
"اختلال","Noun"
"اختناق","Noun"
"اختيار","Noun"
"اختياري","Adjective"
"اخراج","Noun"
"اخطار","Noun"
"اخفأ","Noun"
"اخلاص","Noun"
"اخلاصمن","Adjective"
"اخلاق","Noun"
"اخلاقي","Adjective"
"اخلال","Noun"
"اخوند","Noun"
"اخيستل","Verb"
"اخښل","Verb"
"اخښی","Noun"
"اخېړ","Noun"
"ادات","Noun"
"اداره","Noun"
"ادب","Noun"
"ادبي","Adjective"
"ادبيات","Noun"
"ادراک","Noun"
"ادرس","Noun"
"ادرم","Noun"
"ادعا","Noun"
"ادغام","Noun"
"ادکه","Noun"
"ادکۍ","Noun"
"ادمان","Noun"
"ادمخور","Adjective"
"ادمخېل","Noun"
"ادنا","Adjective"
"ادنی","Adjective"
"ادوات","Noun"
"ادوبدو","Adjective"
"ادوم","Noun"
"اديان","Noun"
"اديب","Noun"
"اديره","Noun"
"ادې","Noun"
"اذان","Noun"
"اذن","Noun"
"اذيت","Noun"
"ار","interjection"
"ارابه","Noun"
"اراده","Noun"
"ارادي","Adjective"
"اراضي","Noun"
"ارامول","Verb"
"ارامي","Adjective"
"ارامي","Noun"
"اراټ","Noun"
"ارباب","Noun"
"اربکی","Noun"
"اربه","Noun"
"ارت","Adjective"
"ارتاو","Noun"
"ارتاوول","Verb"
"ارتاويز","Adjective"
"ارتاوۍ","Noun"
"ارتباط","Noun"
"ارتباطي","Adjective"
"ارتجاع","Noun"
"ارتجاعي","Adjective"
"ارتعاش","Noun"
"ارتفاع","Noun"
"ارتقاء","Noun"
"ارتکاب","Noun"
"ارتول","Verb"
"ارتول","Verb"
"ارتينه","Noun"
"ارتېدل","Verb"
"ارث","Noun"
"ارثي","Adjective"
"ارجل","Adjective"
"ارجلۍ","Noun"
"ارچه","Noun"
"ارخاړی","Noun"
"ارخشی","Noun"
"ارخښ","Noun"
"ارداوه","Noun"
"اردلی","Noun"
"اردو","Noun"
"اردو","Noun"
"ارزاق","Noun"
"ارزان","Adjective"
"ارزانول","Verb"
"ارزاني","Noun"
"ارزانېدل","Verb"
"ارزښت","Noun"
"ارزښتناک","Adjective"
"ارزګان","Noun"
"ارزېدل","Verb"
"ارستو","Noun"
"ارستوکرات","Noun"
"ارستوکراسي","Noun"
"ارشيف","Noun"
"ارغ","Noun"
"ارغاړی","Noun"
"ارغچله","Noun"
"ارغستلي","Adjective"
"ارغشی","Noun"
"ارغنج","Noun"
"ارغنداو","Noun"
"ارغنځه","Noun"
"ارغه","Noun"
"ارغو برغو","Noun"
"ارغوان","Noun"
"ارغواني","Adjective"
"ارغوچ","Noun"
"ارغوچکه","Noun"
"ارغونجکه","Noun"
"ارغونچکي","Noun"
"ارغونچی","Noun"
"ارغوند","Noun"
"ارغونکی","Noun"
"ارغڅه","Noun"
"ارغی","Noun"
"ارغۍ","Noun"
"ارقام","Noun"
"ارکاره","Noun"
"ارکان","Noun"
"ارکانی","Noun"
"ارکسترا","Noun"
"ارم","Noun"
"ارم توتيا","Noun"
"ارمان","Noun"
"ارمانجن","Adjective"
"ارمتی","Adjective"
"ارمچک","Noun"
"ارمغان","Noun"
"ارمل","Noun"
"ارمن","Noun"
"ارمنی","Adjective"
"ارمنی","Noun"
"ارمونيه","Noun"
"ارمونی","Adjective"
"ارمونی","Noun"
"ارمټه","Noun"
"ارن","Noun"
"اره","Noun"
"ارهر","Noun"
"ارهنډه","Noun"
"ارهټ","Noun"
"ارهډ","Noun"
"اروا","Noun"
"اروپا","Noun"
"اروپايي","Adjective"
"ارومرو","Adverb"
"اروړ","Noun"
"اروړه","Adjective"
"اريانول","Verb"
"ارياني","Noun"
"اريانېدل","Verb"
"اريی","Noun"
"ارټ","Noun"
"ارړی","Noun"
"ارږمی","Noun"
"ارږمۍ","Noun"
"ارږی","Noun"
"ارګ","Noun"
"ارګانه","Noun"
"ارګجه","Adjective"
"ارګوړي","Noun"
"ارڼۍ","Noun"
"اری","Noun"
"ارۍ","Noun"
"ارېړه","Noun"
"ازاد","Adjective"
"ازادول","Verb"
"ازادي","Noun"
"ازادېدل","Verb"
"ازانګه","Noun"
"ازبک","Noun"
"ازبکي","Adjective"
"ازدحام","Noun"
"ازدواج","Noun"
"ازغن","Adjective"
"ازغی","Noun"
"ازل","Noun"
"ازل ليک","Noun"
"ازمايل","Verb"
"ازمايښت","Noun"
"ازمويل","Verb"
".","Participles"
"ازموينه","Noun"
"ازموينځی","Noun"
"ازوت","Noun"
"ازوغ","Noun"
"اژانس","Noun"
"اژدهار","Noun"
"اساس","Noun"
"اساسنامه","Noun"
"اساسي","Adjective"
"اسامبله","Noun"
"اسان","Adjective"
"اسانتيا","Noun"
"اسانول","Verb"
"اساني","Noun"
"اسانېدل","Verb"
"اسباب","Noun"
"اسبون","Noun"
"اسپانيه","Noun"
"اسپه","Noun"
"استاذ","Noun"
"استازی","Noun"
"استاکار","Noun"
"استبداد","Noun"
"استبدادي","Adjective"
"استثمار","Noun"
"استثمارچي","Noun"
"استثمارول","Verb"
"استثمارېدل","Verb"
"استثناء","Noun"
"استثنايي","Adjective"
"استحاله","Noun"
"استحصال","Noun"
"استحضار","Noun"
"استحقاق","Noun"
"استحکام","Noun"
"استخاره","Noun"
"استخبارات","Noun"
"استخدام","Noun"
"استخراج","Noun"
"استخفاف","Noun"
"استدلال","Noun"
"استر","Noun"
"استراحت","Noun"
"استربل","Noun"
"استرپ","Noun"
"استسقاء","Noun"
"استعاره","Noun"
"استعداد","Noun"
"استعفا","Noun"
"استعلام","Noun"
"استعمار","Noun"
"استعمارچي","Noun"
"استعماري","Adjective"
"استعمال","Noun"
"استغاثه","Noun"
"استغفار","Noun"
"استغفر الله","interjection"
"استغنا","Noun"
"استفاده","Noun"
"استقامت","Noun"
"استقبال","Noun"
"استقراء","Noun"
"استقرار","Noun"
"استقلال","Noun"
"استمراري","Adjective"
"استناد","Noun"
"استنباط","Noun"
"استنتاج","Noun"
"استنجا","Noun"
"استنساخ","Noun"
"استنشاق","Noun"
"استنطاق","Noun"
"استهدا","Noun"
"استهزا","Noun"
"استهلاک","Noun"
"استهلاکي","Adjective"
"استوا","Noun"
"استوانه","Noun"
"استول","Verb"
"استولی","Participles"
"استوګن","Adjective"
"استوګنه","Noun"
"استوګنځی","Noun"
"استيضاح","Noun"
"استيناف","Noun"
"استېدل","Verb"
"اسد","Noun"
"اسرار","Noun"
"اسرارآمېز","Adjective"
"اسرافيل","Noun"
"اسراييل","Noun"
"اسراييلي","Adjective"
"اسره","Noun"
"اسعار","Noun"
"اسفالټ","Noun"
"اسفناکه","Adjective"
"اسقاط","Noun"
"اسقف","Noun"
"اسک","Noun"
"اسکان","Noun"
"اسکيمو","Noun"
"اسکېرلی","Participles"
"اسل","Adjective"
"اسلاف","Noun"
"اسلام","Noun"
"اسلامي","Adjective"
"اسلحه","Noun"
"اسلوب","Noun"
"اسلول","Verb"
"اسم","Noun"
"اسماعيليه","Noun"
"اسمان","Noun"
"اسمان کټ","Noun"
"اسمان لاره","Noun"
"اسمان څک","Adjective"
"اسمان څکالی","Noun"
"اسماني","Adjective"
"اسناد","Noun"
"اسهال","Noun"
"اسهام","Noun"
"اسوېلاند","Adjective"
"اسوېلل","Verb"
"اسوېلی","Noun"
"اسي","Adjective"
"اسير","Noun"
"اسيډ","Noun"
"اسی","Noun"
"اسېب","Noun"
"اسېمه","Noun"
"اشا","Noun"
"اشاعت","Noun"
"اشباع","Noun"
"اشپز","Noun"
"اشپز خانه","Noun"
"اشپزي","Noun"
"اشتباه","Noun"
"اشتراک","Noun"
"اشتراکي","Adjective"
"اشتغ","Noun"
"اشتقاق","Noun"
"اشتها","Noun"
"اشتهار","Noun"
"اشتوکه","Noun"
"اشتياق","Noun"
"اشخار","Noun"
"اشخاص","Noun"
"اشر","Noun"
"اشراف","Noun"
"اشرپۍ","Noun"
"اشري","Adjective"
"اشعار","Noun"
"اشغال","Noun"
"اشغالګر","Noun"
"اشکال","Noun"
"اشکي","interjection"
"اشنا","Noun"
"اشنايي","Noun"
"اشنای","Noun"
"اشنغر","Noun"
"اشه","command"
"اشوا","Adjective"
"اشواره","Noun"
"اشول","Noun"
"اصالت","Noun"
"اصحاب","Noun"
"اصرار","Noun"
"اصطکاک","Noun"
"اصطلاح","Noun"
"اصغري","Adjective"
"اصل","Noun"
"اصلاح","Noun"
"اصلي","Adjective"
"اصولنامه","Noun"
"اصيل","Adjective"
"اضافت","Noun"
"اضافه","Adjective"
"اضافه بار","Adjective"
"اضافه کاري","Noun"
"اضافي","Adjective"
"اضداد","Noun"
"اضطراب","Noun"
"اضعاف","Noun"
"اطاعت","Noun"
"اطراح","Noun"
"اطراف","Noun"
"اطفائيه","Noun"
"اطلاع","Noun"
"اطلاعيه","Noun"
"اطمينان","Noun"
"اظهار","Noun"
"اظهار نامه","Noun"
"اظهارول","Verb"
"اظهرېدل","Verb"
"اعاده","Noun"
"اعانه","Noun"
"اعتبار","Noun"
"اعتبار ليک","Noun"
"اعتباري","Adjective"
"اعتدال","Noun"
"اعتراض","Noun"
"اعتراف","Noun"
"اعتصاب","Noun"
"اعتقاد","Noun"
"اعتلأ","Noun"
"اعتماد","Noun"
"اعتمادي","Adjective"
"اعتنا","Noun"
"اعتياد","Noun"
"اعداد","Noun"
"اعدام","Noun"
"اعدامول","Verb"
"اعراب","Noun"
"اعزازي","Adjective"
"اعشاري","Adjective"
"اعشاريه","Noun"
"اعصاب","Noun"
"اعضا","Noun"
"اعظمي","Adjective"
"اعلام","Noun"
"اعلاميه","Noun"
"اعلان","Noun"
"اعلانول","Verb"
"اعليحضرت","Noun"
"اعلی","Adjective"
"اعمال","Noun"
"اعيان","Noun"
"اغتشاش","Noun"
"اغراض","Noun"
"اغراق","Noun"
"اغزکی","Noun"
"اغزن","Adjective"
"اغزياڼه","Noun"
"اغزی","Noun"
"اغفال","Noun"
"اغفالول","Verb"
"اغلب","Adjective"
"اغماض","Noun"
"اغوا","Noun"
"اغوت","Noun"
"اغور","Noun"
"اغوستل","Verb"
"اغوړ","Noun"
"اغيار","Noun"
"اغږل","Verb"
"اغېزناک","Adjective"
"اغېزه","Noun"
"اغېړ","Noun"
"اف","interjection"
"افاده","Noun"
"افتتاح","Noun"
"افتتاحيه","Adjective"
"افتخار","Noun"
"افتخاري","Adjective"
"افترا","Noun"
"افتضاح","Noun"
"افراد","Noun"
"افراط","Noun"
"افراطي","Adjective"
"افريقا","Noun"
"افسانه","Noun"
"افسر","Noun"
"افسوس","Noun"
"افشا","Noun"
"افطار","Noun"
"افعال","Noun"
"افعي","Noun"
"افغان","Noun"
"افغانستان","Noun"
"افغاني","Adjective"
"افغانۍ","Noun"
"افق","Noun"
"افقي","Adjective"
"افکار","Noun"
"افلاس","Noun"
"افلاک","Noun"
"افواه","Noun"
"اقبال","Noun"
"اقتباس","Noun"
"اقتدا","Noun"
"اقتدار","Noun"
"اقتراح","Noun"
"اقتصاد","Noun"
"اقتصادي","Adjective"
"اقتضاء","Noun"
"اقتفاء","Noun"
"اقدام","Noun"
"اقرار","Noun"
"اقربا","Noun"
"اقسام","Noun"
"اقليت","Noun"
"اقليدس","Noun"
"اقليم","Noun"
"اقمار","Noun"
"اقناع","Noun"
"اقوال","Noun"
"اقوام","Noun"
"اقيانوس","Noun"
"اک پک","Adjective"
"اکا","Noun"
"اکا خېل","Noun"
"اکاډيمي","Noun"
"اکاړه","Noun"
"اکاړي","Noun"
"اکبرۍ","Noun"
"اکتسابي","Adjective"
"اکتشاف","Noun"
"اکتشافي","Adjective"
"اکتفا","Noun"
"اکثر","Adjective"
"اکثره","Adjective"
"اکثريت","Noun"
"اکر","Noun"
"اکراه","Noun"
"اکرب","Adjective"
"اکره","Adjective"
"اکره","Noun"
"اکسايډ","Noun"
"اکسريز","Noun"
"اکسير","Noun"
"اکله","Noun"
"اکمال","Noun"
"اکمالات","Noun"
"اکو بکو","Noun"
"اکواډور","Noun"
"اکوک","Noun"
"اکوړ","Noun"
"اکوڼی","Noun"
"اکړ","Adjective"
"الا","command"
"الا الا","command"
"الا داد","Noun"
"الا کول","Verb"
"الاپ","Noun"
"الاپ","Noun"
"الاجي","Noun"
"الارغه","Noun"
"البانيه","Noun"
"البته","Adverb"
"البشاکه","Noun"
"البم","Noun"
"البومين","Noun"
"التباس","Noun"
"التجا","Noun"
"التفات","Noun"
"التهاب","Noun"
"الجبر","Noun"
"الجزاير","Noun"
"الچه","Noun"
"الحاد","Noun"
"الحاق","Noun"
"الخ","Adverb"
"الزام","Noun"
"الغ بندي","Noun"
"الغاسه","Noun"
"الغاوتلغاو","Noun"
"الغتان","Noun"
"الغه","Noun"
"الف","Noun"
"الفاظ","Noun"
"الفبې","Noun"
"الفت","Noun"
"القاب","Noun"
"القاح","Noun"
"الک","Noun"
"الکوزی","Noun"
"الکول","Noun"
"الکټرون","Noun"
"الکۍ ژبه","Noun"
"الله","Noun"
"الم","Noun"
"الم غلم","Adjective"
"المارۍ","Noun"
"الماس","Noun"
"المان","Noun"
"الماني","Adjective"
"المغرب","Noun"
"المونيم","Noun"
"النج","Noun"
"النګه","Noun"
"اله","particles"
"الهام","Noun"
"الهه","Noun"
"الهي","Adjective"
"الهيات","Noun"
"الو","Noun"
"الوا","Noun"
"الوابوټی","Noun"
"الواک","Noun"
"الوان","Noun"
"الوبالو","Noun"
"الوبخارا","Noun"
"الوبل","Noun"
"الوتکه","Noun"
"الوتل","Verb"
"الوتنه","Noun"
"الوچه","Noun"
"الوزول","Verb"
"الول","Adjective"
"الوي","Adjective"
"الوڅه","Adjective"
"الوۍ","Noun"
"الوېل","Verb"
"الوېښ","Noun"
"الي جبلي","Noun"
"الي دودو","Noun"
"الي ګېډی","Noun"
"الياف","Noun"
"اليترپ","Noun"
"اليش","Noun"
"اليشول","Verb"
"اليشونه","Noun"
"اليټ پليټ","Adjective"
"الګ","Noun"
"الګه","Adjective"
"الګډ","Noun"
"الېيل","Verb"
"ام","Noun"
"ام البلاد","Noun"
"اما","particles"
"اماچ","Noun"
"امارت","Noun"
"امارګه","Noun"
"اماله","Noun"
"امام","Noun"
"امانت","Noun"
"امانتکاري","Noun"
"اماني","Adjective"
"اماني","Noun"
"امبا","Noun"
"امبار","Noun"
"امبارکي","Noun"
"امبارکی","Noun"
"امبارۍ","Noun"
"امبالۍ","Noun"
"امبانکه","Noun"
"امبرلوبه","Noun"
"امبور","Noun"
"امبولانس","Noun"
"امبولک سيدالک","Noun"
"امپراتور","Noun"
"امپراطوري","Noun"
"امپرياليزم","Noun"
"امپه","Noun"
"امپول","Noun"
"امپړه ککی","Noun"
"امت","Noun"
"امتحان","Noun"
"امتحانول","Verb"
"امتحاني","Adjective"
"امتداد","Noun"
"امتناع","Noun"
"امتنان","Noun"
"امته","Noun"
"امته دار","Adjective"
"امتي","Noun"
"امتياز","Noun"
"امتيازي","Adjective"
"امتۍ","Noun"
"امجه","Adjective"
"امجه","Adjective"
"امحا","Noun"
"امداد","Noun"
"امدادي","Adjective"
"امده","Noun"
"امر","Noun"
"امرا","Noun"
"امرت","Noun"
"امروزۍ","Noun"
"امريکا","Noun"
"امزولی","Noun"
"امسا","Noun"
"امضا","Noun"
"امکان","Noun"
"امکه","Noun"
"املا","Noun"
"املاک","Noun"
"املايي","Adjective"
"املوک","Noun"
"امن","Noun"
"امنا","Noun"
"امنيت","Noun"
"امنيه","Noun"
"امنټه","Noun"
"امه","Noun"
"امواج","Noun"
"اموال","Noun"
"اموخت","Noun"
"اموخته","Adjective"
"امور","Noun"
"امونيا","Noun"
"امي","Adjective"
"امياني","Noun"
"اميد","Noun"
"اميد واره","Adjective"
"اميده","Noun"
"امير","Noun"
"اميرالبحر","Noun"
"امين","Adjective"
"اميندواره","Adjective"
"امېل","Noun"
"ان","particles"
"انا","Noun"
"اناپ","Noun"
"اناپي","Adjective"
"انار","Noun"
"انارشي","Noun"
"انارشيزم","Noun"
"انارشيست","Noun"
"انارګوسه","Noun"
"انارګوړی","Noun"
"اناناس","Noun"
"اناوټ","Noun"
"انايي","Noun"
"اناټومي","Noun"
"اناګۍ","Noun"
"انبار","Noun"
"انبالۍ","Noun"
"انبساط","Noun"
"انبور","Noun"
"انبيا","Noun"
"انبيق","Noun"
"انتارکتيکا","Noun"
"انتباه","Noun"
"انتخاب","Noun"
"انتخابات","Noun"
"انتخابول","Verb"
"انتخابېدل","Verb"
"انتراسيت","Noun"
"انتروشی","Noun"
"انتري","Noun"
"انتشار","Noun"
"انتصاب","Noun"
"انتصابي","Adjective"
"انتظار","Noun"
"انتظام","Noun"
"انتفاعي","Adjective"
"انتقاد","Noun"
"انتقادي","Adjective"
"انتقال","Noun"
"انتقالي","Adjective"
"انتقام","Noun"
"انتن","Noun"
"انتها","Noun"
"انتهايي","Adjective"
"انتي بيوتيک","Noun"
"انتي تېز","Noun"
"انتي سايکلون","Noun"
"انتي سېپتيک","Noun"
"انتيک","Adjective"
"انجروت","Noun"
"انجماد","Noun"
"انجمن","Noun"
"انجن","Noun"
"انجه","Noun"
"انجيل","Noun"
"انجړ","Adjective"
"انجړ بنجړ","Adjective"
"انچ","Noun"
"انحراف","Noun"
"انحصار","Noun"
"انحصارول","Verb"
"انحطاط","Noun"
"انحلال","Noun"
"اند","Noun"
"انداخت","Noun"
"اندام","Noun"
"اندراج","Noun"
"اندربيل","Noun"
"اندرچو","Noun"
"اندرغپ","Adjective"
"اندرکۍ","Noun"
"اندرور","Noun"
"اندلس","Noun"
"اندوانه","Noun"
"اندونيزيا","Noun"
"انديکاتور","Noun"
"اندړ","Noun"
"اندېر","Noun"
"اندېښمن","Adjective"
"اندېښنه","Noun"
"انرجي","Noun"
"انرکه","Noun"
"انزال","Noun"
"انزجار","Noun"
"انزکی","Noun"
"انزکی","Noun"
"انزوا","Noun"
"انس","Noun"
"انساج","Noun"
"انسان","Noun"
"انسان پېژندنه","Noun"
"انساني","Noun"
"انسانيت","Noun"
"انستيتوت","Noun"
"انسجام","Noun"
"انسداد","Noun"
"انشا","Noun"
"انشاءالله","interjection"
"انشعاب","Noun"
"انصاف","Noun"
"انضباط","Noun"
"انطباع","Noun"
"انطباق","Noun"
"انظباطي","Adjective"
"انعام","Noun"
"انعقاد","Noun"
"انعکاس","Noun"
"انغسه","Noun"
"انفاذ","Noun"
"انفرادي","Adjective"
"انفراديت","Noun"
"انفسي","Adjective"
"انفعال","Noun"
"انفکاک","Noun"
"انفلاسيون","Noun"
"انفلوينزا","Noun"
"انقباض","Noun"
"انقسام","Noun"
"انقطاع","Noun"
"انقلاب","Noun"
"انقلابي","Adjective"
"انک","Noun"
"انکار","Noun"
"انکسار","Noun"
"انکشاف","Noun"
"انکشافي","Adjective"
"اننګی","Noun"
"انو","Noun"
"انواع","Noun"
"انوبله","Adjective"
"انياب","Noun"
"انټرنېشناليزم","Noun"
"انټرنېشناليست","Noun"
"انځر","Noun"
"انځکی","Noun"
"انځور","Noun"
"انځورول","Verb"
"انځورګر","Noun"
"انڅۍ","Noun"
"انډاره","Noun"
"انډخور","Noun"
"انډر","Noun"
"انډو","Noun"
"انډول","Noun"
"انډولۍ","Noun"
"انډياري","Noun"
"انډيواله","Noun"
"انډيوالي","Noun"
"انډی","Noun"
"انډۍ","Noun"
"انډېری","Noun"
"انګ","Noun"
"انګار","Noun"
"انګاره","Noun"
"انګاری","Noun"
"انګارۍ","Noun"
"انګازه","Noun"
"انګاف","Noun"
"انګبين","Noun"
"انګچه","Noun"
"انګروزه","Noun"
"انګريزي","Noun"
"انګرۍ","Noun"
"انګرېز","Noun"
"انګل","Noun"
"انګلستان","Noun"
"انګليسي","Noun"
"انګور","Noun"
"انګورتوره","Noun"
"انګول","Noun"
"انګولا","Noun"
"انګولا","Noun"
"انګولل","Verb"
"انګوټ","Noun"
"انګوړی","Noun"
"انګيا","Noun"
"انګړ","Noun"
"انګېرل","Verb"
"انګېرنه","Noun"
"انګېټۍ","Noun"
"اهار","Noun"
"اهاک","Noun"
"اهانت","Noun"
"اهاړ","Noun"
"اهتزاز","Noun"
"اهدا","Noun"
"اهداف","Noun"
"اهرام","Noun"
"اهل","Adjective"
"اهلي","Adjective"
"اهليت","Noun"
"اهمال","Noun"
"اهميت","Noun"
"او","particles"
"اوار","Adjective"
"اوارول","Verb"
"اواز","Noun"
"اوازه","Noun"
"اوامر","Noun"
"اواګير","Adjective"
"اوب","Noun"
"اوباز","Noun"
"اوبازي","Noun"
"اوبال","Noun"
"اوبتل","Noun"
"اوبجن","Adjective"
"اوبدل","Verb"
"اوبدنه","Noun"
"اوبلن","Adjective"
"اوبلنول","Verb"
"اوبه","Noun"
"اوبه لګول","Verb"
"اوبول","Verb"
"اوبړۍ","Noun"
"اوبڼه","Noun"
"اوبېدل","Verb"
"اوپاش","Noun"
"اوپره","Adjective"
"اوتر","Adjective"
"اوتو","Noun"
"اوتو کول","Verb"
"اوج","Noun"
"اوجاړ","Adjective"
"اوجره","Noun"
"اوجغونه","Noun"
"اوجوشه","Noun"
"اوچت","Adjective"
"اوچتوالی","Noun"
"اوچتول","Verb"
"اوچتېدل","Verb"
"اوچکول","Noun"
"اوخ","interjection"
"اوخۍ","Noun"
"اودان","Noun"
"اودس","Noun"
"اودس مات","Noun"
"اودل","Verb"
"اوده","Noun"
"اوده ګر","Noun"
"اودوم","Noun"
"اور","Noun"
"اور لړونی","Noun"
"اور لګونی","Noun"
"اوراد","Noun"
"اوراق","Noun"
"اورانوس","Noun"
"اوراورکی","Noun"
"اوربشکه","Noun"
"اوربشه","Noun"
"اوربشينه","Noun"
"اوربل","Noun"
"اوربلکي","Noun"
"اوربند","Noun"
"اوربه","Noun"
"اوربوز","Noun"
"اورپښت","Noun"
"اورته","Noun"
"اورته","Noun"
"اورژبی","Adjective"
"اورغالی","Noun"
"اورغوی","Noun"
"اورغۍ","Noun"
"اورکی","Noun"
"اورلوبه","Noun"
"اورلګيت","Noun"
"اورلګېدنه","Noun"
"اورمکی","Noun"
"اورمولی","Noun"
"اورمړ","Adjective"
"اورمېږ","Noun"
"اورنوسی","Noun"
"اوره","Noun"
"اوروغ","Noun"
"اورول","Verb"
"اورول","Verb"
"اوريا","Noun"
"اوريځ","Noun"
"اورټک","Noun"
"اورډکی","Noun"
"اورږه","Noun"
"اورښت","Noun"
"اورګان","Noun"
"اورګاډی","Noun"
"اورګډی","Noun"
"اورڼی","Noun"
"اورۍ","Noun"
"اورېدل","Verb"
"اورېدل","Verb"
"اوز","Noun"
"اوزار","Noun"
"اوزغنجن","Adjective"
"اوزغنه","Noun"
"اوژغنه","Noun"
"اوژغونجن","Adjective"
"اوژغونه","Noun"
"اوس","Adverb"
"اوسا","Adjective"
"اوسار","Noun"
"اوسارول","Verb"
"اوسپنه","Noun"
"اوستا","Noun"
